enzyme_id,enzyme_name,enzyme_score,score_std,supporting_metabolites,reactions,pathways,evidence_counts,selection_frequency
ec:2.6.1.57,aromatic-amino-acid transaminase,1.592080416148473e-05,1.011835011913647e-05,tyrosine; 4-hydroxyphenylpyruvate; phenylpyruvate,R00694: L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate; R00734: L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,path:map00997; path:map00999; path:map00360,3,6
ec:3.2.2.3,uridine nucleosidase,1.575126778929286e-05,1.073132792117134e-05,nicotinamide; uridine; uracil,R01080: Uridine + H2O <=> Uracil + D-Ribose; rn:R01273,path:map00770; path:map02010; path:map01240,3,6
ec:1.1.1.66,omega-hydroxydecanoate dehydrogenase,1.556961569840918e-05,9.888692902642207e-06,3-hydroxydecanoate; 2-hydroxydecanoate; 5-hydroxydecanoate,rn:R03886,,3,6
ec:3.5.1.4,amidase,1.550320614941034e-05,1.0275950011750108e-05,phenylacetate; indoleacetate; 4-guanidinobutanoate,rn:R03180; rn:R05590; rn:R02540,path:map00380; path:map00360; path:map01120,3,6
ec:2.4.2.3,uridine phosphorylase,1.5374632675831574e-05,1.0500892112379672e-05,2'-deoxyuridine; uridine; uracil,R01876: Uridine + Orthophosphate <=> Uracil + alpha-D-Ribose 1-phosphate; R02484: Deoxyuridine + Orthophosphate <=> Uracil + 2-Deoxy-D-ribose 1-phosphate,path:map00770; path:map02010; path:map00240,3,6
ec:2.1.1.5,betaine---homocysteine S-methyltransferase,1.5348180383846396e-05,1.0187206223681645e-05,dimethylglycine; methionine; betaine,rn:R02821,path:map00999; path:map02010; path:map04981,3,6
ec:2.4.2.57,AMP phosphorylase,1.533963148742821e-05,1.0021290302755248e-05,adenine; cytosine; uracil,rn:R10838; rn:R10837; rn:R10836,path:map00770; path:map00230; path:map01100,3,6
ec:1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase,1.5320035429457456e-05,1.012997822496125e-05,glutamate; 4-hydroxyglutamate; S-1-pyrroline-5-carboxylate,rn:R05051; rn:R00245; rn:R00707,path:map02010; path:map04720; path:map00630,3,6
ec:3.5.1.74,chenodeoxycholoyltaurine hydrolase,1.52677969017181e-05,1.0061586170104945e-05,taurochenodeoxycholate; chenodeoxycholate; taurine,R03977: Taurochenodeoxycholate + H2O <=> Chenodeoxycholate + Taurine,path:map02010; path:map04080; path:map00430,3,6
ec:3.5.4.4,adenosine deaminase,1.5191551717454433e-05,9.931266702049502e-06,adenosine; inosine,rn:R01560,path:map04923; path:map00670; path:map02010,2,6
ec:3.5.3.2,guanidinoacetase,1.5137858399642463e-05,9.187200623206706e-06,glycine; urea; guanidinoacetate,rn:R00775,path:map02010; path:map00630; path:map01200,3,6
ec:3.5.5.1,nitrilase,1.510660129178521e-05,9.460513128310503e-06,phenylacetate; alanine; indoleacetate,rn:R03542; rn:R03093; rn:R05591,path:map00460; path:map00360; path:map00380,3,6
ec:3.5.4.3,guanine deaminase,1.510016989877446e-05,1.0374747515952064e-05,guanine; xanthine,rn:R01676,path:map01120; path:map00230; path:map01100,2,6
