metabolite,sparse_score
17alpha-hydroxypregnanolone glucuronide,0.0009860223520706888
1-methyl-5-imidazolelactate,0.000985948881466707
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.0009857321372421114
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,0.0009854268954931444
(16 or 17)-methylstearate (a19:0 or i19:0),0.0009852744359245863
"sphingomyelin (d18:2/14:0, d18:1/14:1)*",0.0009850434458398703
2-methylcitrate/homocitrate,0.0009849175253408807
N-behenoyl-sphingadienine (d18:2/22:0)*,0.00098488599427742
1-oleoyl-2-docosapentaenoyl-GPC (18:1/22:5n3)*,0.0009848575025571793
1-arachidonoyl-GPC (20:4n6)*,0.000984771653845894
glycolithocholate,0.000984761364225831
N-acetyltaurine,0.0009845963058155453
dihydroorotate,0.000984594030553023
"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",0.0009843527338686728
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),0.0009838690538074245
oleoyl ethanolamide,0.0009838116458776667
2-hydroxynervonate*,0.0009836636009975842
tetradecadienoate (14:2)*,0.0009835418404935045
tigloylglycine,0.000983508628452509
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n6)*,0.000983236021439122
caproate (6:0),0.00098306094508191
heneicosapentaenoate (21:5n3),0.0009829867613359439
2-hydroxymyristate,0.0009829586771254088
1-arachidonoyl-GPA (20:4),0.0009829160923611874
gamma-glutamylvaline,0.000982903731233455
isobutyrylglycine,0.0009828995712385447
nonadecanoate (19:0),0.0009828988580965602
hydroxyasparagine**,0.000982863846221032
N-lactoyl phenylalanine,0.0009826735731477208
N-acetylisoleucine,0.0009825196533360511
"5alpha-androstan-3alpha,17beta-diol 17-glucuronide",0.0009824878845585956
glycochenodeoxycholate,0.0009824866280703374
maltose,0.000982413021629787
nervonoylcarnitine (C24:1)*,0.0009820319660960323
deoxycholic acid 12-sulfate*,0.0009818885736184208
tetradecanedioate (C14-DC),0.000981873071270042
docosadienoate (22:2n6),0.000981642115144468
5-(galactosylhydroxy)-lysine,0.0009816389909033925
eicosapentaenoate (EPA; 20:5n3),0.0009815525479071202
"androstenediol (3beta,17beta) disulfate (2)",0.0009814585659812965
docosahexaenoylcarnitine (C22:6)*,0.0009813400655548606
4-cholesten-3-one,0.000981117259623396
deoxycholic acid glucuronide,0.0009810970369542621
succinylcarnitine (C4-DC),0.0009809968235258593
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),0.000980927903446922
eicosenoate (20:1),0.0009808997173589603
behenoyl dihydrosphingomyelin (d18:0/22:0)*,0.0009808817190136356
glycosyl-N-behenoyl-sphingosine (d18:1/22:0)*,0.000980879953138245
anthranilate,0.0009807226034532213
"cys-gly, oxidized",0.0009805155206045592
arachidate (20:0),0.00098044768721817
alpha-tocopherol,0.0009804356147431453
2'-O-methyluridine,0.0009804344091936
S-methylcysteine sulfoxide,0.00098043216789022
lactate,0.0009802067471048118
