2026-04-16 10:38:39,470 - INFO - Device: cuda
2026-04-16 10:38:40,296 - INFO - Loaded Excel file: starting_template.csv
2026-04-16 10:38:40,296 - INFO - Raw data shape: (48, 1602)
2026-04-16 10:38:40,297 - INFO - Filtered samples: 36 (High: 26, Low: 10)
2026-04-16 10:38:40,298 - INFO - Groups found: Counter({'HZ_HL': 24, 'PHN': 12})
2026-04-16 10:38:40,299 - INFO - Excluding pain score column from features: 'Pain Score'
2026-04-16 10:38:40,467 - INFO - Identified 1592 metabolite columns
2026-04-16 10:38:40,670 - INFO - Excluded 268 xenobiotic metabolites, 1324 endogenous remaining
2026-04-16 10:38:40,670 - INFO - Excluded xenobiotics (first 10): ['gluconate', 'phytanate', 'salicylate', 'cotinine', 'caffeine', 'methyl indole-3-acetate', 'fluoxetine', '4-acetamidophenol', 'naproxen', 'ibuprofen']
2026-04-16 10:38:40,671 - INFO - Excluded 305 unidentified X- metabolites, 1019 identified endogenous remaining
2026-04-16 10:43:31,921 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:34,429 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:36,131 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:37,862 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:39,610 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:41,353 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:44,098 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:45,828 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:47,614 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:50,010 - INFO - perm 25/200 | auc=0.658 | elapsed=5.2m | ETA=36.1m
2026-04-16 10:43:50,016 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:52,596 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:55,295 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:56,987 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:43:59,783 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:01,725 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:03,591 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:05,300 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:07,935 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:11,144 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:13,731 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:15,522 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:17,272 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:20,242 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:23,312 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:24,908 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:27,287 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:28,872 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:30,781 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:32,506 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:34,773 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:36,616 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:38,500 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:40,434 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:42,761 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:44,774 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:46,555 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:49,048 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:51,451 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:53,247 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:54,939 - INFO - perm 30/200 | auc=0.658 | elapsed=6.2m | ETA=35.3m
2026-04-16 10:44:54,945 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:56,672 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:44:59,536 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:01,284 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:03,812 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:05,452 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:07,699 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:09,528 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:12,247 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:15,112 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:16,701 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:18,510 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:20,248 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:22,211 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:25,030 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:27,089 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:29,378 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:31,079 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:33,011 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:34,709 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:36,343 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:38,009 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:40,393 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:42,085 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:43,552 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:45,329 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:47,752 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:49,615 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:52,226 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:53,969 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:55,695 - INFO - perm 35/200 | auc=0.679 | elapsed=7.2m | ETA=34.2m
2026-04-16 10:45:55,701 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:45:57,421 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:00,457 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:02,862 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:04,880 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:07,165 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:08,893 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:11,550 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:14,121 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:16,420 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:18,440 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:20,133 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:21,878 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:23,960 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:26,608 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:29,068 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:31,101 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:33,081 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:35,974 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:37,812 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:40,316 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:42,109 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:46:44,357 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
