metabolite,mean_abs_ig
3-ureidopropionate,2.1207476e-09
glycolithocholate,2.1201492e-09
3-methyl-2-oxovalerate,2.1200544e-09
ribitol,2.1177877e-09
1-stearyl-GPC (O-18:0)*,2.1172923e-09
N-methylhydroxyproline**,2.1171336e-09
nonanoylcarnitine (C9),2.1140516e-09
heme,2.107734e-09
1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*,2.1064246e-09
4-hydroxyphenylacetoylcarnitine,2.1055893e-09
glycine,2.1048578e-09
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,2.0984023e-09
3-methylglutaconate,2.0968827e-09
fructosyllysine,2.0958315e-09
chenodeoxycholic acid sulfate (1),2.0950286e-09
2-hydroxydecanoate,2.094442e-09
N-linoleoylserine*,2.0938742e-09
fibrinopeptide B (1-13)**,2.0914335e-09
methionine sulfone,2.0914281e-09
glucuronide of C14H26O4 (1)*,2.0897999e-09
sucrose,2.0891777e-09
corticosterone,2.0884188e-09
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),2.0880084e-09
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",2.0874025e-09
hypoxanthine,2.0868227e-09
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),2.0867124e-09
docosadioate (C22-DC),2.0866924e-09
1-methyl-5-imidazoleacetate,2.0849964e-09
octadecanedioylcarnitine (C18-DC)*,2.0847648e-09
1-stearoyl-GPC (18:0),2.0816064e-09
(N(1) + N(8))-acetylspermidine,2.081176e-09
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),2.0789943e-09
1-dihomo-linoleoyl-GPC (20:2)*,2.0784645e-09
nervonoylcarnitine (C24:1)*,2.0736632e-09
1-palmitoyl-2-(hydroxylinoleoyl)-GPC (16:0/18:2(OH))*,2.0722226e-09
nisinate (24:6n3),2.071829e-09
N-acetyltryptophan,2.0709277e-09
azelate (C9-DC),2.0707556e-09
pyruvate,2.0692674e-09
cis-4-decenoate (10:1n6)*,2.0661475e-09
cortisol,2.0656215e-09
xanthosine,2.065327e-09
"5,6-dihydrouridine",2.0644921e-09
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,2.0626292e-09
"12,13-DiHOME",2.0611115e-09
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),2.0608126e-09
N-carbamoylalanine,2.0602533e-09
"N,N-dimethyl-pro-pro",2.0576738e-09
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,2.056143e-09
