enzyme_id,enzyme_name,reaction_id,equation
ec:2.3.1.192,glycine N-phenylacetyltransferase,R05841,
ec:2.8.2.22,aryl-sulfate sulfotransferase,R02996,
ec:2.8.2.1,aryl sulfotransferase,R01242,
ec:6.2.1.76,malonate---CoA ligase,R12300,
ec:4.1.1.88,biotin-independent malonate decarboxylase,R09483,
ec:2.8.3.3,malonate CoA-transferase,R00743,
ec:2.3.1.187,acetyl-S-ACP:malonate ACP transferase,R08944,
ec:1.1.1.169,2-dehydropantoate 2-reductase,R02472,
ec:2.7.1.169,pantoate kinase,R09378,
ec:1.1.1.106,pantoate 4-dehydrogenase,R02471,
ec:2.6.1.125,L-arginine:2-oxoglutarate transaminase,R13305,
ec:2.1.1.243,5-guanidino-2-oxopentanoate (3R)-methyltransferase,R09939,
ec:4.1.1.75,5-guanidino-2-oxopentanoate decarboxylase,R03178,
ec:1.4.3.25,L-arginine oxidase,R11604,
ec:2.6.1.84,arginine---pyruvate transaminase,R08197,
ec:1.2.1.54,gamma-guanidinobutyraldehyde dehydrogenase,R03177,
ec:4.3.1.28,L-lysine cyclodeaminase,R10277,
ec:1.5.3.7,L-pipecolate oxidase,R02204,
ec:1.1.1.156,glycerol 2-dehydrogenase (NADP+),R01039,
ec:3.1.3.19,glycerol-2-phosphatase,R01043,
ec:1.1.99.22,glycerol dehydrogenase (acceptor),R01045,
ec:2.7.1.79,diphosphate---glycerol phosphotransferase,R01044,
ec:4.2.1.30,glycerol dehydratase,R01047,
ec:1.14.13.148,trimethylamine monooxygenase,R05623,
ec:1.7.2.3,trimethylamine-N-oxide reductase,R02560,
ec:4.1.2.32,trimethylamine-oxide aldolase,R02512,
ec:1.14.14.138,lithocholate 6beta-hydroxylase,R07203,
ec:1.1.1.52,3alpha-hydroxycholanate dehydrogenase (NAD+),R04139,
ec:1.1.1.392,3alpha-hydroxycholanate dehydrogenase (NADP+),R11145,
ec:1.3.7.6,phycoerythrobilin synthase,R09491,
ec:1.3.7.2,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase",R05818,
ec:1.3.7.5,phycocyanobilin:ferredoxin oxidoreductase,R05817,
ec:1.3.7.4,phytochromobilin:ferredoxin oxidoreductase,R03678,
ec:1.3.3.5,bilirubin oxidase,R02394,
ec:3.5.99.1,riboflavinase,R01732,
ec:1.1.1.56,ribitol 2-dehydrogenase,R01895,
ec:1.21.99.4,thyroxine 5'-deiodinase,R03734,
ec:1.21.99.3,thyroxine 5-deiodinase,R07230,
ec:4.1.1.73,tartrate decarboxylase,R01751,
ec:3.2.1.170,mannosylglycerate hydrolase,R12095,
ec:1.2.99.8,glyceraldehyde dehydrogenase (FAD-containing),R10324,
ec:2.4.1.268,glucosylglycerate synthase,R09665,
ec:2.4.1.269,mannosylglycerate synthase,R09666,
ec:2.4.1.352,glucosylglycerate phosphorylase,R11959,
ec:3.1.3.38,3-phosphoglycerate phosphatase,R01511,
ec:2.7.1.31,glycerate 3-kinase,R01514,
ec:1.2.1.89,D-glyceraldehyde dehydrogenase (NADP+),R10615,
ec:3.1.3.20,phosphoglycerate phosphatase,R01748,
ec:2.7.1.165,glycerate 2-kinase,R08572,
ec:2.7.1.211,protein-Npi-phosphohistidine---sucrose phosphotransferase,R00811,
ec:2.3.1.31,homoserine O-acetyltransferase,R01776,
ec:1.1.1.129,L-threonate 3-dehydrogenase,R03733,
ec:3.2.1.187,(Ara-f)3-Hyp beta-L-arabinobiosidase,R10579,
ec:4.2.1.49,urocanate hydratase,R02914,
ec:1.3.99.33,urocanate reductase,R10330,
ec:1.1.1.255,mannitol dehydrogenase,R07135,
ec:1.1.3.40,D-mannitol oxidase,R05698,
ec:3.1.4.49,dolichylphosphate-mannose phosphodiesterase,R01328,
ec:5.3.1.7,mannose isomerase,R00877,
ec:2.7.1.7,mannokinase,R01326,
ec:2.7.1.191,protein-Npi-phosphohistidine---D-mannose phosphotransferase,R02630,
ec:3.5.4.21,creatinine deaminase,R02922,
ec:2.3.3.11,2-hydroxyglutarate synthase,R00932,
ec:3.1.2.5,hydroxymethylglutaryl-CoA hydrolase,R02083,
ec:2.8.3.13,succinate---hydroxymethylglutarate CoA-transferase,R02084,
ec:4.1.1.83,4-hydroxyphenylacetate decarboxylase,R07312,
ec:1.2.1.53,4-hydroxyphenylacetaldehyde dehydrogenase,R02695,4-Hydroxyphenylacetaldehyde + NAD+ + H2O <=> 4-Hydroxyphenylacetate + NADH + H+
ec:6.3.2.26,N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase,R04870,
ec:6.3.2.43,[amino-group carrier protein]---L-2-aminoadipate ligase,R09775,
ec:2.6.1.39,2-aminoadipate transaminase,R01939,
ec:2.1.2.7,D-alanine 2-hydroxymethyltransferase,R01225,
ec:2.4.1.121,indole-3-acetate beta-glucosyltransferase,R03094,
ec:2.1.1.278,indole-3-acetate O-methyltransferase,R10452,
ec:3.5.1.134,(indol-3-yl)acetyl-L-aspartate hydrolase,R12513,
ec:6.2.1.75,indoleacetate---CoA ligase,R12968,
ec:1.14.13.235,indole-3-acetate monooxygenase,R11730,
ec:4.1.1.115,indoleacetate decarboxylase,R12303,
ec:1.14.13.168,indole-3-pyruvate monooxygenase,R10181,
ec:1.2.3.7,indole-3-acetaldehyde oxidase,R02681,
ec:6.3.2.20,indoleacetate---lysine synthetase,R03095,
ec:2.3.3.16,citrate synthase (unknown stereospecificity),R00351,
ec:6.3.2.38,N2-citryl-N6-acetyl-N6-hydroxylysine synthase,R10090,
ec:6.2.1.18,citrate---CoA ligase,R01322,
ec:6.3.2.54,"L-2,3-diaminopropanoate---citrate ligase",R12308,
ec:2.3.3.1,citrate (Si)-synthase,R00351,
ec:2.8.3.10,citrate CoA-transferase,R01323,
ec:2.3.3.8,ATP citrate synthase,R00352,
ec:6.3.2.58,D-ornithine---citrate ligase,R12353,
ec:6.3.2.57,staphyloferrin A synthase,R12354,
ec:4.1.3.6,citrate (pro-3S)-lyase,R00362,
ec:2.3.3.3,citrate (Re)-synthase,R00351,
ec:2.1.1.342,anaerobilin synthase,R11700,
ec:4.98.1.1,protoporphyrin ferrochelatase,R00310,
ec:1.3.98.6,AdoMet-dependent heme synthase,R12002,
ec:2.5.1.141,heme o synthase,R07411,
ec:4.4.1.17,holocytochrome-c synthase,R02480,
ec:2.3.1.30,serine O-acetyltransferase,R00586,
ec:2.7.8.4,serine-phosphoethanolamine synthase,R02563,
ec:4.2.1.50,pyrazolylalanine synthase,R02378,
ec:2.7.8.8,CDP-diacylglycerol---serine O-phosphatidyltransferase,R01800,
ec:2.7.1.80,diphosphate---serine phosphotransferase,R00584,
ec:5.1.1.18,serine racemase,R00589,
ec:2.3.1.50,serine C-palmitoyltransferase,R01281,
ec:2.6.1.51,serine---pyruvate transaminase,R00585,
ec:3.5.3.18,dimethylargininase,R02513,
ec:2.1.3.3,ornithine carbamoyltransferase,R01398,
ec:6.3.4.5,argininosuccinate synthase,R01954,
ec:2.3.1.92,sinapoylglucose---malate O-sinapoyltransferase,R03323,
ec:1.1.99.7,lactate---malate transhydrogenase,R01447,
ec:3.1.2.30,(3S)-malyl-CoA thioesterase,R10612,
ec:6.2.1.9,malate---CoA ligase,R01256,
ec:4.1.1.101,malolactic enzyme,R11074,
ec:2.3.3.9,malate synthase,R00472,
ec:1.1.1.82,malate dehydrogenase (NADP+),R00343,
ec:3.5.1.92,pantetheine hydrolase,R02973,
ec:1.14.11.39,L-asparagine hydroxylase,R10446,
ec:4.2.99.12,carboxymethyloxysuccinate lyase,R01336,
ec:1.3.4.1,fumarate reductase (CoM/CoB),R10660,
ec:3.7.1.20,3-fumarylpyruvate hydrolase,R01085,
ec:6.3.2.46,"fumarate---(S)-2,3-diaminopropanoate ligase",R10940,
ec:4.3.2.1,argininosuccinate lyase,R01086,
ec:4.1.99.11,benzylsuccinate synthase,R05598,
ec:4.3.1.1,aspartate ammonia-lyase,R00490,
ec:4.2.1.172,trans-4-hydroxy-L-proline dehydratase,R11819,
ec:1.5.5.2,proline dehydrogenase,R01253,
ec:1.1.1.159,7alpha-hydroxysteroid dehydrogenase,R02792,
ec:1.1.1.176,12alpha-hydroxysteroid dehydrogenase,R02793,
ec:2.3.1.91,sinapoylglucose---choline O-sinapoyltransferase,R03075,
ec:3.1.1.7,acetylcholinesterase,R01026,
ec:1.1.99.1,choline dehydrogenase,R01025,
ec:3.1.4.41,sphingomyelin phosphodiesterase D,R02542,
ec:3.1.6.6,choline-sulfatase,R01028,
ec:2.8.2.6,choline sulfotransferase,R01027,
