metabolite,median_high,median_low,log2_fc,wilcoxon_stat,p_value,q_value,significant_fdr
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,-0.004765507765114307,0.2747485339641571,,95.0,0.22303759590429784,0.9423400569916458,False
sphingomyelin (d18:2/18:1)*,0.05902630835771561,-0.08899673819541931,,165.0,0.22303759590429784,0.9423400569916458,False
N-acetyltryptophan,0.0802820697426796,-0.1080220639705658,,165.0,0.22303759590429784,0.9423400569916458,False
taurodeoxycholate,-0.06754017621278763,0.8195202350616455,,95.0,0.22303759590429784,0.9423400569916458,False
"bilirubin degradation product, C17H18N2O4 (1)**",0.23614785075187683,-0.06141067296266556,,165.0,0.22303759590429784,0.9423400569916458,False
"5,6-dihydrouracil",-0.4197273552417755,-0.03438488394021988,3.6096061149447127,97.0,0.2250029531147244,0.9423400569916458,False
4-methylhexanoylglutamine,-0.6721004247665405,-0.3075583875179291,1.127816495178535,97.5,0.2270362925936792,0.9423400569916458,False
isoleucylglycine,-0.03289535269141197,-0.5968425869941711,-4.181394799248085,163.0,0.2334193838388846,0.9423400569916458,False
N-acetyl-3-methylhistidine*,-0.5948119759559631,-0.5024995803833008,0.24331130342062363,102.0,0.23377281525612215,0.9423400569916458,False
sarcosine,0.03457178547978401,0.20856228470802307,-2.5928112692266647,96.0,0.23671080601546113,0.9423400569916458,False
3-methyl-2-oxovalerate,-0.10106359422206879,0.1389894187450409,,96.0,0.2367409760450062,0.9423400569916458,False
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",-0.005768722388893366,0.07827178388834,,96.0,0.2367409760450062,0.9423400569916458,False
3-indoxyl sulfate,0.008658335544168949,0.6850612759590149,-6.305999498724833,96.0,0.2367409760450062,0.9423400569916458,False
stearate (18:0),-0.008314486593008041,0.07648263871669769,,96.0,0.2367409760450062,0.9423400569916458,False
valine,0.004603897221386433,0.17903396487236023,-5.28123384237997,96.0,0.2367409760450062,0.9423400569916458,False
nonadecanoate (19:0),-0.02086419239640236,0.10353197157382965,,96.0,0.2367409760450062,0.9423400569916458,False
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),-0.050758883357048035,0.21780681610107422,,96.0,0.2367409760450062,0.9423400569916458,False
adenosine,0.0731300413608551,-0.1309068202972412,,164.0,0.2367409760450062,0.9423400569916458,False
1-arachidonoyl-GPE (20:4n6)*,-0.019180305302143097,0.13646699488162994,,96.0,0.2367409760450062,0.9423400569916458,False
N-formylmethionine,0.05100473389029503,0.08305782079696655,-0.7034848651058093,96.0,0.2367409760450062,0.9423400569916458,False
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,0.058960579335689545,-0.2014157772064209,,164.0,0.2367409760450062,0.9423400569916458,False
2-O-methylascorbic acid,0.07213502377271652,0.36867058277130127,-2.353560495353626,96.0,0.2367409760450062,0.9423400569916458,False
1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*,-0.11398531496524811,0.0333608016371727,,96.0,0.2367409760450062,0.9423400569916458,False
1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*,0.010203856974840164,-0.0713433250784874,,164.0,0.2367409760450062,0.9423400569916458,False
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n6)*,0.09150892496109009,-0.1249927431344986,,164.0,0.2367409760450062,0.9423400569916458,False
"androstenediol (3beta,17beta) monosulfate (2)",-0.037476081401109695,-0.37455692887306213,-3.3211429999403594,163.5,0.2437811618254906,0.9525911058693082,False
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,-0.11127281188964844,-0.5393034815788269,-2.2769962171346703,163.0,0.24423883176376904,0.9525911058693082,False
cysteinylglycine disulfide*,0.007365748751908541,0.08490581065416336,-3.526959179837503,97.0,0.25102906323209717,0.9525911058693082,False
glucuronate,0.1795480102300644,0.052898239344358444,1.763078053224691,163.0,0.25102906323209717,0.9525911058693082,False
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,0.03165728598833084,-0.0354180745780468,,163.0,0.25102906323209717,0.9525911058693082,False
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),-0.42667579650878906,0.07149207592010498,,97.0,0.25102906323209717,0.9525911058693082,False
lactate,-0.011359723284840584,0.11540870368480682,,97.0,0.25102906323209717,0.9525911058693082,False
sphingosine 1-phosphate,-0.031810592859983444,-0.04809417575597763,-0.5963549346534011,163.0,0.25102906323209717,0.9525911058693082,False
deoxycholic acid 12-sulfate*,-0.03795184940099716,0.09532283246517181,,98.0,0.265785155369046,0.9525911058693082,False
"bilirubin degradation product, C17H18N2O4 (2)**",0.220905601978302,-0.049293626099824905,,162.0,0.26590823627628724,0.9525911058693082,False
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,0.0809529721736908,-0.12540151178836823,,162.0,0.26590823627628724,0.9525911058693082,False
N-stearoyl-sphingadienine (d18:2/18:0)*,0.10375699400901794,-0.13782928884029388,,162.0,0.26590823627628724,0.9525911058693082,False
glycine,0.0786946564912796,-0.1039760559797287,,162.0,0.26590823627628724,0.9525911058693082,False
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,-0.07902180403470993,0.07375740259885788,,98.0,0.26590823627628724,0.9525911058693082,False
hexanoylglutamine,-0.02861042693257332,0.6014766693115234,,98.0,0.26590823627628724,0.9525911058693082,False
threonine,-0.07048126310110092,-0.17043523490428925,-1.2739119386833078,162.0,0.26590823627628724,0.9525911058693082,False
gulonate*,-0.011082463897764683,0.1530027836561203,,98.0,0.26590823627628724,0.9525911058693082,False
docosapentaenoate (n6 DPA; 22:5n6),-0.15455329418182373,0.11043745279312134,,98.0,0.26590823627628724,0.9525911058693082,False
"N,N,N-trimethyl-alanylproline betaine (TMAP)",0.04969017207622528,-0.14728444814682007,,162.0,0.26590823627628724,0.9525911058693082,False
glycine conjugate of C10H14O2 (1)*,0.011419443413615227,-0.3537372052669525,,162.0,0.26590823627628724,0.9525911058693082,False
N-acetyl-isoputreanine,0.05418972671031952,-0.15155819058418274,,162.0,0.26590823627628724,0.9525911058693082,False
1-palmitoleoyl-GPE (16:1)*,-0.11045091599225998,0.3020769953727722,,98.5,0.2724884621528487,0.9525911058693082,False
tetrahydrocortisol glucuronide,0.029557514935731888,0.31223535537719727,-3.401037018659131,98.5,0.27354026360900574,0.9525911058693082,False
palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,-0.4204917848110199,-0.5168611407279968,-0.2976991253202875,99.0,0.2744824243387697,0.9525911058693082,False
2-hydroxyoleate,-0.29797738790512085,-0.08453652262687683,1.81755618269094,99.0,0.2744824243387697,0.9525911058693082,False
azeloyltaurine,-0.21171718835830688,-0.4439316391944885,-1.0681991341981176,160.5,0.2748275226959147,0.9525911058693082,False
N-methylhydroxyproline**,-0.9151551127433777,-0.9151551127433777,0.0,106.0,0.2751179408161133,0.9525911058693082,False
3-hydroxysebacate,-0.6475971341133118,-0.13563406467437744,2.2553770432236937,100.0,0.27942886370112974,0.9525911058693082,False
1-stearoyl-2-meadoyl-GPC (18:0/20:3n9)*,-0.2843697667121887,0.09138014912605286,,99.0,0.2807636793899553,0.9525911058693082,False
1-stearyl-GPC (O-18:0)*,0.017911430448293686,-0.10668115317821503,,161.0,0.28138363382400566,0.9525911058693082,False
thyroxine,0.01970827952027321,-0.04337439686059952,,161.0,0.28138363382400566,0.9525911058693082,False
2-oleoyl-GPE (18:1)*,-0.0923030823469162,0.1332494169473648,,99.0,0.28138363382400566,0.9525911058693082,False
N-acetylalanine,-0.018195435404777527,0.05037594586610794,,99.0,0.28138363382400566,0.9525911058693082,False
5-hydroxydecanoate,-0.011903000995516777,0.20086659491062164,,99.0,0.28138363382400566,0.9525911058693082,False
isoleucine,0.012454824522137642,0.13271376490592957,-3.413541402008836,99.0,0.28138363382400566,0.9525911058693082,False
cholesterol sulfate,-0.08211743831634521,0.03724941611289978,,99.0,0.28138363382400566,0.9525911058693082,False
1-oleoyl-GPE (18:1),-0.04816135764122009,0.13229691982269287,,99.0,0.28138363382400566,0.9525911058693082,False
