metabolite,p_value,q_value,log2_fc,median_high,median_low
hypoxanthine,0.0804174382204966,0.9423400569916458,,0.0008790493011474,-0.1975488662719726
dodecenedioate (C12:1-DC)*,0.0804174382204966,0.9423400569916458,,-0.1237871944904327,0.4835833311080932
1-eicosenoyl-GPE (20:1)*,0.0863160092142367,0.9423400569916458,,-0.1889813989400863,0.3307505846023559
hexadecenedioate (C16:1-DC)*,0.0867216374922809,0.9423400569916458,,-0.0490541085600853,0.4219264388084411
eicosapentaenoate (EPA; 20:5n3),0.0867216374922809,0.9423400569916458,,-0.1149684563279151,0.2323341071605682
aconitate [cis or trans],0.0867216374922809,0.9423400569916458,,-0.1016723811626434,0.1224633902311325
1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*,0.0867216374922809,0.9423400569916458,,0.0293167829513549,-0.183253526687622
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),0.0867216374922809,0.9423400569916458,,0.1369942128658294,-0.1439456343650818
3beta-hydroxy-5-cholenoate,0.0899994961894265,0.9423400569916458,,0.0564447790384292,-0.3305715322494507
alpha-ketobutyrate,0.0926807336494259,0.9423400569916458,,-0.7919968962669373,0.5974396467208862
octadecenedioylcarnitine (C18:1-DC)*,0.0933978773006881,0.9423400569916458,,-0.4508191645145416,0.2020778059959411
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.0933978773006881,0.9423400569916458,,0.0343532711267471,-0.0753626301884651
galactonate,0.0934189654508656,0.9423400569916458,,-0.0002028979361057,0.3205076456069946
2-hydroxyoctanoate,0.0934189654508656,0.9423400569916458,,-0.1124193295836448,0.122953325510025
"fibrinopeptide A, phosphono-ser(3)*",0.0978421591429092,0.9423400569916458,,-0.5342926979064941,0.1318661719560623
alpha-CMBHC glucuronide,0.0978952545745332,0.9423400569916458,,-0.4921548366546631,0.2019386887550354
5-hydroxyindoleacetate,0.0979473557153237,0.9423400569916458,0.5121243641372847,-0.3939205706119537,-0.2762128412723541
pyruvate,0.100525068756954,0.9423400569916458,,-0.2344865947961807,0.2647196650505066
8-methoxykynurenate,0.1015443064130448,0.9423400569916458,,-0.7919776439666748,0.009879290126264
lithocholic acid sulfate (2),0.1035449264750374,0.9423400569916458,1.22745883020458,-1.0909159183502195,-0.4658963978290558
1-palmitoyl-GPA (16:0),0.1043762193334225,0.9423400569916458,5.043012374275351,-1.1126445531845093,-0.033748809248209
pyridoxal,0.1079647547260662,0.9423400569916458,,-0.0607328116893768,0.1557972878217697
cerotoylcarnitine (C26)*,0.1080554989024462,0.9423400569916458,,-0.1994085162878036,0.2098210901021957
hydantoin-5-propionate,0.1080554989024462,0.9423400569916458,,-0.0555481873452663,0.3572992086410522
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,0.1080554989024462,0.9423400569916458,,0.1049767807126045,-0.1134921312332153
2-methylcitrate/homocitrate,0.1080554989024462,0.9423400569916458,,-0.0226223859935998,0.1067393869161605
glycerate,0.1080554989024462,0.9423400569916458,,-0.03758991882205,0.2959620356559753
imidazole propionate,0.109282726245898,0.9423400569916458,-3.1482324720746284,-0.173537790775299,-1.53853178024292
3-hydroxydodecanedioate*,0.1128442792679047,0.9423400569916458,4.517878067705975,-0.6982533931732178,-0.030478686094284
N-lactoyl isoleucine,0.1157909340554648,0.9423400569916458,,-0.2188720107078552,0.2521179914474487
3-sulfo-alanine,0.1159317711521624,0.9423400569916458,,0.4393226504325866,-0.0084041850641369
vanillylmandelate (VMA),0.1160021789226597,0.9423400569916458,-3.37635460323791,0.0442544557154178,0.4595587253570556
phenylalanine,0.1160256465804349,0.9423400569916458,,-0.0597951188683509,0.1033408939838409
malonate,0.1160256465804349,0.9423400569916458,,-0.0238608121871948,0.0448981672525405
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.1160256465804349,0.9423400569916458,,-0.1067709028720855,0.0350042209029197
N-palmitoyl-sphinganine (d18:0/16:0),0.1160256465804349,0.9423400569916458,-4.5339369405545495,0.0123138288035988,0.2852621376514435
docosahexaenoate (DHA; 22:6n3),0.1160256465804349,0.9423400569916458,,-0.2772186398506164,0.2573082745075226
2-linoleoyl-GPE (18:2)*,0.1160256465804349,0.9423400569916458,,-0.0693919658660888,0.1065138578414917
glycerol,0.1160256465804349,0.9423400569916458,,-0.1553128063678741,0.2437482178211212
delta-CEHC glucuronide,0.1204502057411185,0.9423400569916458,-1.4557136346070696,-0.2701846659183502,-0.7410954833030701
cytidine,0.1230920045327638,0.9423400569916458,,0.0529986806213855,-0.3214800357818603
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",0.1244506729630902,0.9423400569916458,,-0.0734812393784523,0.3678178787231445
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.1244506729630902,0.9423400569916458,,0.0697401463985443,-0.0717249885201454
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,0.1244506729630902,0.9423400569916458,,-0.0826514214277267,0.062707208096981
fructose,0.1244506729630902,0.9423400569916458,,-0.267985075712204,0.0844107717275619
glycodeoxycholate,0.1244506729630902,0.9423400569916458,,-0.2437309622764587,0.6037760972976685
1-methylhistamine,0.127820875222491,0.9423400569916458,,0.0136855021119117,-0.8866103887557983
methionine sulfone,0.1288138120565653,0.9423400569916458,,0.1166368573904037,-0.0665193125605583
N-formylphenylalanine,0.1302828961801822,0.9423400569916458,1.8727899119148896,-0.7263167500495911,-0.1983170807361602
leukotriene B5,0.1319445858675268,0.9423400569916458,,-0.1135383248329162,0.2034786194562912
tridecenedioate (C13:1-DC)*,0.1333454381455339,0.9423400569916458,,-0.087519347667694,0.2617460787296295
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),0.1333454381455339,0.9423400569916458,,0.1170271784067154,-0.0836224108934402
"bilirubin degradation product, C16H18N2O5 (2)**",0.1333454381455339,0.9423400569916458,,0.1640702486038208,-0.3730083107948303
1-linoleoyl-GPE (18:2)*,0.1333454381455339,0.9423400569916458,,-0.0302115604281425,0.2082366347312927
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*,0.1333454381455339,0.9423400569916458,,-0.1257507801055908,0.0229673068970441
"2,3-dihydroxy-2-methylbutyrate",0.1333454381455339,0.9423400569916458,,-0.2143332064151764,0.5100821256637573
4-methoxyphenol sulfate,0.1370353857610759,0.9423400569916458,1.1187264337678369,-1.0195235013961792,-0.4694907367229461
1-palmityl-GPC (O-16:0),0.142724427050654,0.9423400569916458,,0.0393590554594993,-0.0850954800844192
threonate,0.142724427050654,0.9423400569916458,,-0.0394566766917705,0.3009967505931854
2-arachidonoyl-GPC (20:4)*,0.142724427050654,0.9423400569916458,,-0.0759430527687072,0.1585239768028259
1-methylnicotinamide,0.142724427050654,0.9423400569916458,,-0.0442129708826541,0.1785342991352081
1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)*,0.142724427050654,0.9423400569916458,,-0.2692829370498657,0.1834356188774109
